,trial,filename,position,mask
0,1,scramble_face_038_03.png,down,mask_015.png
1,2,face_021_03.png,down,mask_049.png
2,3,face_120_03.png,up,mask_019.png
3,4,scramble_face_044_03.png,down,mask_037.png
4,5,scramble_face_024_03.png,up,mask_010.png
5,6,scramble_face_013_03.png,down,mask_019.png
6,7,scramble_face_061_03.png,up,mask_006.png
7,8,face_005_03.png,up,mask_014.png
8,9,face_006_03.png,up,mask_044.png
9,10,face_034_03.png,up,mask_026.png
10,11,scramble_face_012_03.png,up,mask_042.png
11,12,scramble_face_006_03.png,down,mask_041.png
12,13,scramble_face_119_03.png,down,mask_025.png
13,14,face_025_03.png,down,mask_026.png
14,15,face_119_03.png,down,mask_024.png
15,16,face_001_03.png,up,mask_014.png
16,17,face_008_03.png,up,mask_042.png
17,18,face_038_03.png,down,mask_032.png
18,19,scramble_face_008_03.png,down,mask_016.png
19,20,face_024_03.png,up,mask_020.png
20,21,scramble_face_025_03.png,down,mask_032.png
21,22,scramble_face_126_03.png,down,mask_024.png
22,23,face_126_03.png,down,mask_050.png
23,24,scramble_face_021_03.png,up,mask_009.png
24,25,scramble_face_034_03.png,down,mask_026.png
25,26,face_012_03.png,up,mask_023.png
26,27,scramble_face_005_03.png,down,mask_023.png
27,28,scramble_face_001_03.png,up,mask_035.png
28,29,scramble_face_120_03.png,down,mask_030.png
29,30,face_061_03.png,up,mask_050.png
30,31,face_013_03.png,up,mask_009.png
31,32,face_044_03.png,up,mask_013.png
