,trial,filename,position,mask
0,1,scramble_face_013_03.png,down,mask_045.png
1,2,scramble_face_061_03.png,up,mask_026.png
2,3,scramble_face_024_03.png,up,mask_007.png
3,4,face_044_03.png,down,mask_041.png
4,5,face_120_03.png,down,mask_031.png
5,6,scramble_face_038_03.png,down,mask_033.png
6,7,face_012_03.png,down,mask_001.png
7,8,scramble_face_005_03.png,down,mask_020.png
8,9,scramble_face_034_03.png,down,mask_007.png
9,10,scramble_face_044_03.png,down,mask_014.png
10,11,scramble_face_021_03.png,up,mask_049.png
11,12,scramble_face_001_03.png,down,mask_030.png
12,13,scramble_face_120_03.png,down,mask_010.png
13,14,face_038_03.png,down,mask_027.png
14,15,scramble_face_012_03.png,down,mask_045.png
15,16,scramble_face_008_03.png,up,mask_003.png
16,17,face_013_03.png,up,mask_024.png
17,18,scramble_face_025_03.png,up,mask_040.png
18,19,face_061_03.png,up,mask_015.png
19,20,face_008_03.png,up,mask_025.png
20,21,scramble_face_006_03.png,down,mask_010.png
21,22,scramble_face_126_03.png,up,mask_014.png
22,23,face_021_03.png,down,mask_015.png
23,24,face_034_03.png,down,mask_008.png
24,25,face_119_03.png,up,mask_045.png
25,26,face_126_03.png,up,mask_022.png
26,27,face_005_03.png,up,mask_048.png
27,28,face_001_03.png,up,mask_046.png
28,29,face_025_03.png,up,mask_002.png
29,30,face_006_03.png,down,mask_033.png
30,31,scramble_face_119_03.png,up,mask_037.png
31,32,face_024_03.png,up,mask_023.png
