,trial,filename,position,mask
0,1,scramble_face_021_03.png,down,mask_038.png
1,2,face_005_03.png,down,mask_024.png
2,3,face_008_03.png,down,mask_001.png
3,4,face_013_03.png,down,mask_043.png
4,5,face_120_03.png,up,mask_040.png
5,6,scramble_face_013_03.png,up,mask_007.png
6,7,face_044_03.png,up,mask_046.png
7,8,scramble_face_012_03.png,down,mask_009.png
8,9,scramble_face_044_03.png,up,mask_041.png
9,10,scramble_face_119_03.png,up,mask_013.png
10,11,face_006_03.png,down,mask_043.png
11,12,face_119_03.png,up,mask_027.png
12,13,face_038_03.png,up,mask_029.png
13,14,face_034_03.png,down,mask_004.png
14,15,scramble_face_034_03.png,up,mask_019.png
15,16,face_025_03.png,up,mask_040.png
16,17,scramble_face_025_03.png,up,mask_016.png
17,18,scramble_face_024_03.png,up,mask_048.png
18,19,scramble_face_038_03.png,down,mask_010.png
19,20,face_001_03.png,down,mask_036.png
20,21,scramble_face_006_03.png,down,mask_008.png
21,22,face_021_03.png,down,mask_009.png
22,23,face_012_03.png,up,mask_013.png
23,24,scramble_face_061_03.png,down,mask_012.png
24,25,scramble_face_001_03.png,down,mask_026.png
25,26,face_024_03.png,up,mask_004.png
26,27,scramble_face_126_03.png,up,mask_042.png
27,28,face_126_03.png,up,mask_001.png
28,29,scramble_face_008_03.png,up,mask_045.png
29,30,face_061_03.png,down,mask_040.png
30,31,scramble_face_120_03.png,down,mask_013.png
31,32,scramble_face_005_03.png,down,mask_036.png
