,trial,filename,position,mask
0,1,scramble_face_120_03.png,down,mask_009.png
1,2,face_044_03.png,up,mask_020.png
2,3,scramble_face_024_03.png,down,mask_018.png
3,4,scramble_face_034_03.png,up,mask_008.png
4,5,scramble_face_008_03.png,down,mask_048.png
5,6,face_120_03.png,down,mask_039.png
6,7,face_021_03.png,down,mask_019.png
7,8,face_038_03.png,down,mask_040.png
8,9,scramble_face_061_03.png,up,mask_049.png
9,10,scramble_face_006_03.png,up,mask_036.png
10,11,face_119_03.png,down,mask_007.png
11,12,face_005_03.png,up,mask_028.png
12,13,face_012_03.png,up,mask_020.png
13,14,face_001_03.png,up,mask_034.png
14,15,face_013_03.png,down,mask_017.png
15,16,scramble_face_012_03.png,up,mask_015.png
16,17,scramble_face_038_03.png,up,mask_022.png
17,18,face_034_03.png,up,mask_038.png
18,19,face_126_03.png,down,mask_020.png
19,20,scramble_face_025_03.png,down,mask_016.png
20,21,scramble_face_119_03.png,up,mask_018.png
21,22,scramble_face_021_03.png,down,mask_040.png
22,23,face_008_03.png,down,mask_050.png
23,24,scramble_face_126_03.png,down,mask_006.png
24,25,face_006_03.png,down,mask_046.png
25,26,face_025_03.png,up,mask_029.png
26,27,face_061_03.png,up,mask_006.png
27,28,scramble_face_013_03.png,up,mask_015.png
28,29,scramble_face_001_03.png,down,mask_039.png
29,30,scramble_face_005_03.png,down,mask_007.png
30,31,scramble_face_044_03.png,up,mask_029.png
31,32,face_024_03.png,up,mask_046.png
