,trial,filename,position,mask
0,1,scramble_face_013_03.png,down,mask_023.png
1,2,scramble_face_038_03.png,up,mask_010.png
2,3,face_012_03.png,up,mask_006.png
3,4,scramble_face_005_03.png,up,mask_048.png
4,5,face_006_03.png,down,mask_032.png
5,6,face_024_03.png,down,mask_045.png
6,7,scramble_face_024_03.png,down,mask_015.png
7,8,face_044_03.png,up,mask_050.png
8,9,face_038_03.png,up,mask_007.png
9,10,face_034_03.png,down,mask_019.png
10,11,face_120_03.png,up,mask_034.png
11,12,face_013_03.png,down,mask_044.png
12,13,scramble_face_008_03.png,up,mask_008.png
13,14,scramble_face_119_03.png,up,mask_021.png
14,15,scramble_face_025_03.png,up,mask_002.png
15,16,scramble_face_120_03.png,down,mask_042.png
16,17,scramble_face_001_03.png,up,mask_011.png
17,18,face_021_03.png,up,mask_001.png
18,19,face_025_03.png,down,mask_010.png
19,20,face_008_03.png,up,mask_034.png
20,21,scramble_face_034_03.png,down,mask_036.png
21,22,face_126_03.png,up,mask_030.png
22,23,face_119_03.png,up,mask_019.png
23,24,scramble_face_061_03.png,down,mask_018.png
24,25,scramble_face_006_03.png,down,mask_044.png
25,26,scramble_face_044_03.png,down,mask_008.png
26,27,face_061_03.png,down,mask_012.png
27,28,scramble_face_126_03.png,up,mask_023.png
28,29,scramble_face_012_03.png,down,mask_010.png
29,30,scramble_face_021_03.png,up,mask_026.png
30,31,face_001_03.png,down,mask_023.png
31,32,face_005_03.png,down,mask_034.png
