,trial,filename,position,mask
0,1,scramble_face_008_03.png,up,mask_016.png
1,2,face_012_03.png,down,mask_044.png
2,3,face_120_03.png,down,mask_028.png
3,4,face_061_03.png,down,mask_008.png
4,5,scramble_face_061_03.png,down,mask_031.png
5,6,face_025_03.png,down,mask_015.png
6,7,scramble_face_119_03.png,down,mask_010.png
7,8,scramble_face_013_03.png,down,mask_046.png
8,9,scramble_face_025_03.png,down,mask_050.png
9,10,scramble_face_005_03.png,up,mask_004.png
10,11,scramble_face_001_03.png,up,mask_011.png
11,12,scramble_face_120_03.png,up,mask_032.png
12,13,face_119_03.png,up,mask_016.png
13,14,face_024_03.png,down,mask_050.png
14,15,scramble_face_012_03.png,up,mask_030.png
15,16,face_013_03.png,up,mask_014.png
16,17,face_005_03.png,down,mask_015.png
17,18,scramble_face_021_03.png,up,mask_035.png
18,19,face_034_03.png,down,mask_042.png
19,20,scramble_face_024_03.png,down,mask_043.png
20,21,face_021_03.png,up,mask_012.png
21,22,face_001_03.png,up,mask_001.png
22,23,scramble_face_126_03.png,up,mask_041.png
23,24,face_126_03.png,up,mask_016.png
24,25,scramble_face_006_03.png,down,mask_029.png
25,26,face_044_03.png,up,mask_029.png
26,27,face_008_03.png,up,mask_042.png
27,28,scramble_face_038_03.png,down,mask_013.png
28,29,scramble_face_044_03.png,up,mask_003.png
29,30,face_038_03.png,down,mask_007.png
30,31,face_006_03.png,down,mask_030.png
31,32,scramble_face_034_03.png,up,mask_042.png
