,trial,filename,position,mask
0,1,face_013_03.png,down,mask_014.png
1,2,face_038_03.png,up,mask_023.png
2,3,scramble_face_024_03.png,up,mask_044.png
3,4,scramble_face_044_03.png,down,mask_007.png
4,5,face_012_03.png,up,mask_023.png
5,6,face_005_03.png,up,mask_050.png
6,7,face_061_03.png,down,mask_010.png
7,8,scramble_face_038_03.png,down,mask_009.png
8,9,scramble_face_012_03.png,down,mask_047.png
9,10,scramble_face_006_03.png,down,mask_032.png
10,11,face_024_03.png,down,mask_005.png
11,12,face_034_03.png,up,mask_024.png
12,13,face_044_03.png,down,mask_022.png
13,14,face_001_03.png,down,mask_027.png
14,15,scramble_face_013_03.png,up,mask_034.png
15,16,face_021_03.png,down,mask_023.png
16,17,face_025_03.png,up,mask_011.png
17,18,scramble_face_034_03.png,down,mask_024.png
18,19,scramble_face_001_03.png,up,mask_008.png
19,20,scramble_face_061_03.png,down,mask_042.png
20,21,scramble_face_025_03.png,up,mask_016.png
21,22,face_119_03.png,up,mask_034.png
22,23,face_006_03.png,down,mask_021.png
23,24,scramble_face_005_03.png,up,mask_028.png
24,25,scramble_face_021_03.png,up,mask_030.png
25,26,scramble_face_119_03.png,up,mask_046.png
26,27,scramble_face_120_03.png,down,mask_043.png
27,28,face_008_03.png,up,mask_003.png
28,29,scramble_face_008_03.png,up,mask_021.png
29,30,scramble_face_126_03.png,down,mask_021.png
30,31,face_126_03.png,up,mask_039.png
31,32,face_120_03.png,down,mask_041.png
